"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"18231","84771","ENSG00000223972","DDX11L2",0,1,0,0,0,1
"29423","645520","ENSG00000237613","FAM138A",0,0,0,0,0,0
"16603","79504","ENSG00000268020","OR4G4P",0,0,0,0,0,0
"16602","79501","ENSG00000186092","OR4F5",0,0,0,0,0,0
"42112","100996442","ENSG00000238009","LOC100996442",0,0,0,0,0,1
"37354","100420257","ENSG00000233750","CICP27",0,1,0,0,0,0
"54034","106480049","ENSG00000222623","RNU6-1100P",0,0,0,0,0,0
"30841","728481","ENSG00000228463","RPL23AP21",4,5,2,3,2,2
"30859","728517","ENSG00000236679","RPL23AP24",0,0,0,0,0,0
"43573","101928626","ENSG00000230021","LOC101928626",0,1,0,4,0,0
"42035","100887749","ENSG00000225972","MTND1P23",6,6,19,18,19,25
"40340","100652939","ENSG00000225630","MTND2P28",25,48,49,32,58,48
"56236","107075141","ENSG00000237973","MTCO1P12",2893,3641,4421,4257,5327,5097
"56403","107075310","ENSG00000229344","MTCO2P12",144,122,214,156,283,249
"54785","106480795","ENSG00000240409","MTATP8P1",0,0,0,0,0,0
"54786","106480796","ENSG00000248527","MTATP6P1",33,42,49,46,75,68
"56363","107075270","ENSG00000198744","MTCO3P12",81,109,119,136,186,159
"54076","106480091","ENSG00000223181","RNU6-1199P",0,1,0,0,0,0
"52016","105378580","ENSG00000237491","LINC01409",7,12,12,4,17,24
"26580","400728","ENSG00000177757","FAM87B",9,6,6,12,7,16
"16866","79854","ENSG00000225880","LINC00115",22,17,25,16,28,13
"29002","643837","ENSG00000228794","LINC01128",371,350,246,277,276,319
"23469","284593","ENSG00000230368","FAM41C",0,0,0,0,0,0
"25525","388579","ENSG00000234711","TUBB8P11",0,0,0,0,3,3
"32835","100130417","ENSG00000223764","LINC02593",3,5,7,8,28,36
"20991","148398","ENSG00000187634","SAMD11",17,13,25,22,60,88
"11430","26155","ENSG00000188976","NOC2L",2867,2690,1775,1747,1897,1966
"24208","339451","ENSG00000187961","KLHL17",201,202,139,137,172,153
"17861","84069","ENSG00000187583","PLEKHN1",91,103,47,69,49,53
"18247","84808","ENSG00000187642","PERM1",22,10,14,23,16,12
"15640","57801","ENSG00000188290","HES4",74,87,52,91,72,77
"8741","9636","ENSG00000187608","ISG15",518,322,937,887,1239,1506
"25145","375790","ENSG00000188157","AGRN",8131,8046,8005,9241,11019,12457
"35811","100288175","ENSG00000217801","LOC100288175",18,9,28,23,31,36
"26845","401934","ENSG00000237330","RNF223",0,1,0,0,0,0
"14169","54991","ENSG00000131591","C1orf159",290,207,217,200,262,327
"22675","254099","ENSG00000223823","LINC01342",0,0,0,0,0,0
"27175","406984","ENSG00000207730","MIR200B",0,0,0,0,0,0
"27174","406983","ENSG00000207607","MIR200A",0,0,0,0,0,0
"28377","554210","ENSG00000198976","MIR429",0,0,0,0,0,0
"39158","100506376","ENSG00000205231","TTLL10-AS1",0,0,0,0,0,0
"22682","254173","ENSG00000162571","TTLL10",0,0,0,0,0,0
"8014","8784","ENSG00000186891","TNFRSF18",1,0,0,7,0,3
"6908","7293","ENSG00000186827","TNFRSF4",0,0,1,0,0,0
"13198","51150","ENSG00000078808","SDF4",6032,6202,6857,6644,7594,8221
"19960","126792","ENSG00000176022","B3GALT6",1073,925,990,928,1102,1249
"25526","388581","ENSG00000184163","C1QTNF12",3,6,6,2,3,4
"19543","118424","ENSG00000160087","UBE2J2",1797,1827,1567,1548,1795,2066
"5965","6339","ENSG00000162572","SCNN1D",11,13,9,10,14,37
"19494","116983","ENSG00000131584","ACAP3",806,695,801,765,1136,1150
"19959","126789","ENSG00000169972","PUSL1",339,321,252,254,267,341
"14152","54973","ENSG00000127054","INTS11",2035,1870,1534,1590,1941,2042
"17263","80772","ENSG00000224051","CPTP",823,702,658,678,962,1021
"17747","83756","ENSG00000169962","TAS1R3",18,10,11,7,35,19
"1662","1855","ENSG00000107404","DVL1",1702,1693,1160,1110,1314,1649
"13907","54587","ENSG00000162576","MXRA8",27,21,26,7,31,13
"14175","54998","ENSG00000175756","AURKAIP1",2271,2169,1868,2003,2085,2488
"56339","107075246","ENSG00000223663","NDUFB4P8",0,0,0,0,0,0
"17546","81669","ENSG00000221978","CCNL2",700,684,662,799,930,933
"20992","148413","ENSG00000224870","MRPL20-AS1",241,214,232,191,293,365
"14219","55052","ENSG00000242485","MRPL20",1239,1172,1083,1107,1171,1423
"56188","107074708","ENSG00000264293","RN7SL657P",0,0,0,0,0,0
"27805","441869","ENSG00000235098","ANKRD65",14,9,22,31,15,22
"29036","643965","ENSG00000205116","TMEM88B",0,0,0,0,0,0
"16180","64856","ENSG00000179403","VWA1",12,3,25,11,20,22
"22218","219293","ENSG00000215915","ATAD3C",6,1,3,1,0,0
"17766","83858","ENSG00000160072","ATAD3B",447,428,226,235,278,290
"14355","55210","ENSG00000197785","ATAD3A",1805,1743,1108,1187,1244,1626
"24209","339453","ENSG00000205090","TMEM240",34,41,46,48,75,60
"12718","29101","ENSG00000160075","SSU72",3012,3086,2913,2857,3431,3550
"29043","643988","ENSG00000228594","FNDC10",43,47,62,37,41,34
"20656","142678","ENSG00000197530","MIB2",557,563,594,631,972,957
"7773","8510","ENSG00000189409","MMP23B",0,0,0,0,0,0
"887","984","ENSG00000248333","CDK11B",419,401,312,397,426,529
"30918","728661","ENSG00000189339","SLC35E2B",877,1032,1090,1238,1210,1400
"7774","8511","ENSG00000215914","MMP23A",0,0,3,0,2,0
"30911","728642","ENSG00000008128","CDK11A",9,12,1,3,9,11
"9007","9906","ENSG00000215790","SLC35E2A",62,67,79,78,88,109
"16257","65220","ENSG00000008130","NADK",2577,2486,3486,3269,4039,4509
"2456","2782","ENSG00000078369","GNB1",16961,17303,15071,15314,18782,19513
"52277","105378949","ENSG00000231050","GNB1-DT",14,9,5,7,17,6
"21609","163688","ENSG00000169885","CALML6",0,0,0,0,0,1
"24210","339456","ENSG00000178821","TMEM52",20,23,34,32,28,15
"18484","85452","ENSG00000142609","CFAP74",0,0,0,0,0,0
"2271","2563","ENSG00000187730","GABRD",0,0,0,0,0,0
"52021","105378591","ENSG00000226969","PRKCZ-DT",0,0,0,0,0,0
"5264","5590","ENSG00000067606","PRKCZ",11,9,10,17,19,15
"39203","100506504","ENSG00000182873","PRKCZ-AS1",38,58,37,36,58,54
"21994","199990","ENSG00000162585","FAAP20",1183,1236,1119,1149,1148,1495
"6112","6497","ENSG00000157933","SKI",3587,3679,3789,4279,4800,5042
"16919","79906","ENSG00000116151","MORN1",53,51,59,50,54,69
"32497","100129534","ENSG00000269896","LOC100129534",6,15,17,20,23,32
"10118","11079","ENSG00000157916","RER1",3566,3410,3062,2921,3515,3740
"4907","5192","ENSG00000157911","PEX10",575,564,598,566,729,828
"8756","9651","ENSG00000149527","PLCH2",0,0,0,0,0,0
"14373","55229","ENSG00000157881","PANK4",733,739,545,638,670,719
"25527","388585","ENSG00000197921","HES5",0,1,7,6,4,15
"7999","8764","ENSG00000157873","TNFRSF14",270,294,432,444,568,569
"42143","100996583","ENSG00000228037","LOC100996583",2,1,1,0,1,0
"19995","127281","ENSG00000157870","PRXL2B",1224,1252,1336,1329,1361,1648
"16525","79258","ENSG00000142606","MMEL1",15,15,32,19,46,31
"35749","100287898","ENSG00000215912","TTC34",3,3,2,6,3,2
"20549","140625","ENSG00000169717","ACTRT2",0,0,0,0,0,0
"27536","440556","ENSG00000177133","PRDM16-DT",0,0,0,0,0,0
"15910","63976","ENSG00000142611","PRDM16",0,0,1,0,0,0
"11954","27237","ENSG00000130762","ARHGEF16",1,0,2,0,0,2
"1729","1953","ENSG00000162591","MEGF6",1,5,2,6,1,0
"30442","693135","ENSG00000207776","MIR551A",0,0,0,0,0,0
"19994","127262","ENSG00000158109","TPRG1L",1092,1223,1185,1274,1549,1710
"12939","49856","ENSG00000116213","WRAP73",407,413,383,373,425,502
"6794","7161","ENSG00000078900","TP73",99,101,81,103,78,92
"15317","57212","ENSG00000227372","TP73-AS1",702,683,695,680,805,987
"21019","148870","ENSG00000162592","CCDC27",0,4,2,3,2,0
"25529","388588","ENSG00000235169","SMIM1",15,28,23,39,21,39
"15406","57470","ENSG00000130764","LRRC47",1551,1515,1368,1361,1446,1549
"55069","106481079","ENSG00000266075","RN7SL574P",0,0,0,0,0,0
"8840","9731","ENSG00000116198","CEP104",726,669,721,724,729,834
"1523","1677","ENSG00000169598","DFFB",128,71,91,118,141,106
"24207","339448","ENSG00000198912","C1orf174",635,596,487,510,552,596
"33678","100133612","ENSG00000236423","LINC01134",19,20,14,8,20,12
"50809","105376672","ENSG00000226374","LINC01345",0,0,0,0,0,0
"29148","644357","ENSG00000229280","EEF1DP6",0,0,0,0,0,0
"23482","284661","ENSG00000235054","LINC01777",0,0,0,0,0,0
"50813","105376679","ENSG00000232596","LINC01646",0,0,0,0,0,0
"14873","55966","ENSG00000196581","AJAP1",0,0,0,1,0,0
"40185","100616421","ENSG00000264101","MIR4689",0,0,0,0,0,0
"22957","261734","ENSG00000131697","NPHP4",239,217,192,193,237,265
"7777","8514","ENSG00000069424","KCNAB2",164,163,283,233,293,296
"11340","26038","ENSG00000116254","CHD5",0,3,0,0,0,0
"5780","6146","ENSG00000116251","RPL22",6049,5866,5699,5673,6373,6795
"45307","102724450","ENSG00000226944","RNF207-AS1",2,3,8,2,8,7
"25530","388591","ENSG00000158286","RNF207",9,14,55,40,45,51
"10883","23463","ENSG00000116237","ICMT",3664,3398,3435,3420,3820,4493
"26045","390992","ENSG00000173673","HES3",0,0,2,1,0,0
"25353","387509","ENSG00000158292","GPR153",5307,5373,2487,2383,2768,2906
"10320","11332","ENSG00000097021","ACOT7",9143,8699,5083,4805,4744,5300
"13919","54626","ENSG00000069812","HES2",21,9,8,13,18,9
"17729","83715","ENSG00000187017","ESPN",1,2,11,0,1,2
"38528","100422975","ENSG00000265392","MIR4252",0,0,0,0,0,0
"7960","8718","ENSG00000215788","TNFRSF25",72,100,77,80,78,122
"15386","57449","ENSG00000171680","PLEKHG5",1114,1052,664,777,878,985
"16743","79707","ENSG00000162408","NOL9",519,536,482,423,570,592
"55398","106481411","ENSG00000253022","RNU6-731P",0,0,0,0,0,0
"17288","80835","ENSG00000173662","TAS1R1",3,2,9,2,6,9
"2762","3104","ENSG00000204859","ZBTB48",291,310,252,291,322,359
"9004","9903","ENSG00000162413","KLHL21",2350,2340,1883,1895,2246,2443
"20996","148479","ENSG00000116273","PHF13",1377,1397,1139,1195,1305,1595
"18640","90326","ENSG00000041988","THAP3",252,248,248,289,317,351
"14705","55735","ENSG00000007923","DNAJC11",826,706,634,641,716,671
"10724","23261","ENSG00000171735","CAMTA1",435,422,396,373,425,460
"34738","100270828","ENSG00000227950","RPL37P9",0,0,0,0,0,0
"55590","106481604","ENSG00000207056","RNU1-8P",0,0,0,0,0,0
"45607","102725193","ENSG00000237728","CAMTA1-AS2",0,0,0,0,0,0
"8469","9341","ENSG00000049245","VAMP3",4482,4468,4737,4843,5517,5649
"8093","8863","ENSG00000049246","PER3",293,348,491,555,642,644
"9932","10911","ENSG00000049247","UTS2",0,0,0,1,1,0
"3313","3604","ENSG00000049249","TNFRSF9",3,6,4,9,1,8
"10306","11315","ENSG00000116288","PARK7",4731,4650,3921,3861,4248,5138
"13762","54206","ENSG00000116285","ERRFI1",24044,24208,8469,8493,8289,8846
"32596","100129776","ENSG00000229305","LOC100129776",0,0,0,0,0,0
"55937","106481952","ENSG00000200975","RNU1-7P",0,0,0,0,0,0
"45348","102724539","ENSG00000227634","LINC01714",1,1,0,0,1,0
"53989","106480004","ENSG00000251977","RNU6-991P",0,0,0,0,0,0
"12979","50651","ENSG00000162426","SLC45A1",388,333,338,329,393,419
"423","473","ENSG00000142599","RERE",3278,3069,2695,3709,4026,4050
"34734","100270823","ENSG00000234619","RPL7P11",0,0,0,0,2,1
"29257","644896","ENSG00000224315","RPL7P7",0,0,0,0,0,0
"32172","100128662","ENSG00000226545","RPL27P3",0,0,0,0,0,0
"1791","2023","ENSG00000074800","ENO1",55929,50607,38653,36837,42253,47238
"39038","100505975","ENSG00000230679","ENO1-AS1",0,0,3,3,2,0
"55263","106481275","ENSG00000201725","RNU6-304P",0,0,0,0,0,0
"686","765","ENSG00000131686","CA6",0,0,0,0,0,0
"54361","106480377","ENSG00000265141","RN7SL451P",0,0,0,0,0,0
"21352","155184","ENSG00000197241","SLC2A7",0,0,0,0,0,0
"6137","6518","ENSG00000142583","SLC2A5",1,0,0,0,0,2
"17018","80045","ENSG00000180758","GPR157",90,105,84,99,74,160
"55970","106614088","ENSG00000228526","MIR34AHG",1,2,4,1,3,0
"45363","102724571","ENSG00000234546","LNCTAM34A",7,2,13,12,13,26
"8684","9563","ENSG00000049239","H6PD",1766,1880,2258,2539,2902,3329
"17076","80176","ENSG00000171621","SPSB1",1240,1050,430,454,564,620
"40795","100873279","ENSG00000252956","RNA5SP40",0,0,0,0,0,0
"17994","84275","ENSG00000171612","SLC25A33",249,250,180,200,226,207
"28780","642740","ENSG00000231181","RPL9P11",0,0,0,3,0,1
"21991","199953","ENSG00000188807","TMEM201",930,880,614,643,766,735
"4993","5293","ENSG00000171608","PIK3CD",258,251,343,345,399,506
"29283","644997","ENSG00000179840","PIK3CD-AS1",0,0,0,0,0,0
"43816","101929074","ENSG00000231789","PIK3CD-AS2",5,10,31,15,24,26
"10412","22883","ENSG00000171603","CLSTN1",7323,7181,6376,7232,7927,8817
"15176","56998","ENSG00000178585","CTNNBIP1",1276,1359,1458,1415,1477,1442
"18043","84328","ENSG00000162441","LZIC",788,799,668,727,808,872
"16158","64802","ENSG00000173614","NMNAT1",146,145,183,197,199,239
"40496","100847055","ENSG00000265521","MIR5697",0,0,0,0,0,0
"19442","116362","ENSG00000162444","RBP7",2,1,1,0,0,1
"9360","10277","ENSG00000130939","UBE4B",1525,1492,1392,1555,1700,1942
"34782","100270877","ENSG00000224340","RPL21P21",0,0,0,0,0,0
"37544","100420660","ENSG00000233623","PGAM1P11",0,0,0,0,0,0
"53918","106479932","ENSG00000201746","RNU6-828P",0,0,0,0,0,0
"10578","23095","ENSG00000054523","KIF1B",2783,2986,2350,2758,3127,3268
"52897","106478920","ENSG00000199562","RNU6-37P",0,1,0,0,0,0
"56166","107048981","ENSG00000264501","RN7SL731P",0,0,0,0,0,0
"4935","5226","ENSG00000142657","PGD",14129,13454,11829,11104,13302,14713
"25179","378708","ENSG00000175279","CENPS",145,119,113,137,139,135
"39601","100526739","ENSG00000251503","CENPS-CORT",0,0,0,0,0,0
"1179","1325","ENSG00000241563","CORT",0,0,0,0,0,2
"1522","1676","ENSG00000160049","DFFA",790,747,593,715,713,867
"4910","5195","ENSG00000142655","PEX14",766,637,652,609,824,786
"55079","106481089","ENSG00000243267","RN7SL614P",0,0,0,0,0,0
"14083","54897","ENSG00000130940","CASZ1",69,57,36,34,39,68
"54243","106480259","ENSG00000225158","HSPE1P24",0,0,0,0,0,0
"20989","148345","ENSG00000175262","C1orf127",0,0,0,0,0,0
"10866","23435","ENSG00000120948","TARDBP",3394,3305,3051,3056,3735,4047
"9784","10747","ENSG00000009724","MASP2",9,12,3,12,23,11
"6334","6723","ENSG00000116649","SRM",3481,3286,2288,2307,2479,2532
"5081","5394","ENSG00000171824","EXOSC10",1267,1150,1032,1013,1173,1287
"50840","105376736","ENSG00000230337","EXOSC10-AS1",6,14,5,5,11,4
"2191","2475","ENSG00000198793","MTOR",1432,1498,1230,1408,1558,1948
"41444","100873935","ENSG00000225602","MTOR-AS1",0,0,0,0,0,0
"9299","10218","ENSG00000171819","ANGPTL7",0,0,0,0,0,0
"53683","106479696","ENSG00000207451","RNU6-291P",0,0,0,0,0,0
"12816","29914","ENSG00000120942","UBIAD1",635,650,539,492,517,603
"59978","109729120","ENSG00000224338","MTCYBP45",0,0,0,0,0,0
"15464","57540","ENSG00000204624","DISP3",0,1,0,1,0,0
"43883","101929181","ENSG00000235643","LINC01647",0,0,0,0,0,0
"11464","26232","ENSG00000116661","FBXO2",33,25,79,59,108,124
"18979","93611","ENSG00000132879","FBXO44",224,193,325,332,347,388
"11496","26270","ENSG00000116663","FBXO6",130,104,212,180,216,194
"9520","10459","ENSG00000116670","MAD2L2",2062,2157,1735,1821,1993,2164
"25093","374946","ENSG00000162490","DRAXIN",632,563,993,1467,3246,3679
"15216","57085","ENSG00000177674","AGTRAP",1027,893,908,987,867,987
"23455","284498","ENSG00000215910","C1orf167",0,0,0,0,0,5
"45405","102724659","ENSG00000177553","C1orf167-AS1",0,0,0,0,0,0
"4291","4524","ENSG00000177000","MTHFR",249,245,282,270,392,436
"1069","1185","ENSG00000011021","CLCN6",644,675,745,685,1034,1187
"4636","4878","ENSG00000175206","NPPA",0,0,1,0,2,2
"4637","4879","ENSG00000120937","NPPB",0,0,0,0,0,0
"26048","390997","ENSG00000224904","SBF1P2",0,0,0,0,0,0
"11771","26829","ENSG00000199347","RNU5E-1",0,0,0,2,0,0
"41342","100873829","ENSG00000201801","RNU5E-4P",0,0,0,0,0,0
"18625","90231","ENSG00000116685","KIAA2013",2540,2462,2831,2766,3167,3526
"5049","5351","ENSG00000083444","PLOD1",8928,8724,7258,7403,8309,8795
"9028","9927","ENSG00000116688","MFN2",3941,3933,3405,3404,3644,3916
"15829","60672","ENSG00000116691","MIIP",239,252,241,232,317,328
"55090","106481100","ENSG00000243539","RN7SL649P",0,0,0,0,0,0
"849","943","ENSG00000120949","TNFRSF8",1,0,4,0,0,1
"55412","106481426","ENSG00000201135","RNU6-777P",0,0,0,0,0,0
"54320","106480336","ENSG00000227875","RPL23AP89",0,0,0,0,0,0
"6760","7133","ENSG00000028137","TNFRSF1B",393,380,441,464,662,677
"40201","100616438","ENSG00000263676","MIR4632",0,0,0,0,0,0
"26049","390998","ENSG00000225196","RPL10P17",0,0,0,0,0,0
"14334","55187","ENSG00000048707","VPS13D",1100,1278,1110,1340,1765,1860
"30330","677882","ENSG00000239149","SNORA59B",0,4,1,0,0,1
"8389","9249","ENSG00000162496","DHRS3",2646,2662,4098,3993,5053,5751
"53538","106479551","ENSG00000221340","RNU6ATAC18P",2,1,1,0,0,3
"24475","343066","ENSG00000204518","AADACL4",0,0,0,0,0,0
"19958","126767","ENSG00000188984","AADACL3",0,0,0,0,0,0
"18952","93190","ENSG00000157330","CFAP107",0,0,0,0,0,0
"26050","390999","ENSG00000116726","PRAMEF12",0,0,0,0,0,0
"16248","65121","ENSG00000116721","PRAMEF1",0,0,0,0,0,0
"50846","105376745","ENSG00000228338","LINC01784",0,0,0,0,0,0
"24480","343069","ENSG00000179172","HNRNPCL1",0,2,0,0,0,1
"16249","65122","ENSG00000120952","PRAMEF2",0,0,0,0,0,0
"26581","400735","ENSG00000243073","PRAMEF4",0,0,0,0,0,0
"24486","343071","ENSG00000187545","PRAMEF10",0,0,0,0,0,0
"27807","441871","ENSG00000204510","PRAMEF7",0,0,0,0,0,0
"54022","106480037","ENSG00000207434","RNU6-1072P",0,0,0,0,0,0
"27539","440561","ENSG00000232423","PRAMEF6",0,0,0,0,0,0
"32531","100129611","ENSG00000250894","PRAMEF31P",0,0,0,0,0,2
"27537","440560","ENSG00000239810","PRAMEF11",0,0,0,0,0,0
"24476","343068","ENSG00000270601","PRAMEF5",0,0,0,0,0,0
"24482","343070","ENSG00000204505","PRAMEF9",0,0,0,0,0,0
"37033","100419649","ENSG00000236179","PRAMEF35P",0,0,0,0,0,0
"42324","101060301","ENSG00000179412","HNRNPCL4",0,0,0,0,0,0
"27809","441873","ENSG00000229571","PRAMEF25",0,0,0,0,0,0
"53893","106479907","ENSG00000207511","RNU6-771P",0,0,0,0,0,0
"26051","391002","ENSG00000182330","PRAMEF8",0,0,0,0,0,0
"29385","645382","ENSG00000237700","PRAMEF33",0,0,0,0,0,0
"30122","653619","ENSG00000204501","PRAMEF15",0,0,0,0,0,0
"31179","729528","ENSG00000204481","PRAMEF14",0,0,0,0,0,0
"29397","645414","ENSG00000204480","PRAMEF19",0,0,0,0,0,0
"26058","391004","ENSG00000204479","PRAMEF17",0,0,0,0,0,0
"29401","645425","ENSG00000204478","PRAMEF20",0,0,0,0,0,0
"19957","126755","ENSG00000162494","LRRC38",0,0,0,0,0,0
"9688","10630","ENSG00000162493","PDPN",5,18,10,19,22,21
"40796","100873280","ENSG00000222952","RNA5SP41",0,0,0,0,0,0
"7270","7799","ENSG00000116731","PRDM2",575,681,587,674,593,653
"55565","106481579","ENSG00000252151","RNU6-1265P",0,0,0,0,0,0
"50857","105376762","ENSG00000234593","KAZN-AS1",0,0,0,0,0,0
"10719","23254","ENSG00000189337","KAZN",194,182,70,59,76,72
"22010","200197","ENSG00000175147","TMEM51-AS1",1,0,0,0,0,0
"14253","55092","ENSG00000171729","TMEM51",181,169,97,94,104,111
"30585","727684","ENSG00000204464","TMEM51-AS2",0,0,0,0,0,0
"19274","114827","ENSG00000142621","FHAD1",42,52,27,32,29,40
"42799","101927417","ENSG00000233485","FHAD1-AS1",0,0,0,0,0,1
"16513","79180","ENSG00000142634","EFHD2",12192,12086,5729,5886,5628,5961
"10318","11330","ENSG00000162438","CTRC",1,4,0,1,1,0
"15845","63036","ENSG00000142615","CELA2A",0,0,2,0,0,0
"13098","51032","ENSG00000215704","CELA2B",2,0,1,1,4,1
"766","842","ENSG00000132906","CASP9",381,368,301,322,320,403
"10785","23341","ENSG00000116138","DNAJC16",593,550,553,604,722,791
"56596","107397391","ENSG00000251866","SCARNA21B",0,0,0,0,0,0
"16829","79814","ENSG00000116771","AGMAT",108,93,64,59,75,56
"53079","106479092","ENSG00000252417","RNU7-179P",0,0,0,0,0,0
"18018","84301","ENSG00000197312","DDI2",803,787,526,612,684,734
"5880","6248","ENSG00000215695","RSC1A1",0,0,0,0,0,0
"10675","23207","ENSG00000116786","PLEKHM2",2295,2345,2140,2148,2707,2870
"23491","284723","ENSG00000162461","SLC25A34",13,4,9,16,14,9
"61132","110806303","ENSG00000224459","SLC25A34-AS1",0,0,0,0,0,0
"25531","388595","ENSG00000162460","TMEM82",0,0,0,0,0,0
"13960","54751","ENSG00000162458","FBLIM1",3428,3510,2071,2105,2133,2384
"27545","440567","ENSG00000233954","UQCRHL",56,38,43,36,50,48
"27813","441876","ENSG00000178715","RPS16P1",24,12,55,33,45,36
"31203","729614","ENSG00000179743","SPEN-AS1",70,71,50,86,90,86
"10510","23013","ENSG00000065526","SPEN",727,716,433,1009,940,1017
"7206","7709","ENSG00000116809","ZBTB17",563,603,479,506,623,665
"21052","149563","ENSG00000183888","SRARP",0,0,0,0,0,0
"11893","27129","ENSG00000173641","HSPB7",0,0,1,2,2,3
"1071","1187","ENSG00000186510","CLCNKA",0,0,0,0,0,0
"1072","1188","ENSG00000184908","CLCNKB",8,1,3,8,8,8
"24739","348487","ENSG00000185519","FAM131C",84,63,42,57,48,58
"1743","1969","ENSG00000142627","EPHA2",11442,11238,7474,7993,9178,10539
"20047","128272","ENSG00000142632","ARHGEF19",32,32,42,64,38,47
"16567","79363","ENSG00000132881","CPLANE2",125,90,130,123,112,112
"13801","54455","ENSG00000037637","FBXO42",653,645,643,753,905,977
"11389","26099","ENSG00000055070","SZRD1",5831,5444,4558,4144,4795,5524
"31217","729662","ENSG00000226457","RPL22P3",0,1,0,0,0,1
"25094","374955","ENSG00000187144","SPATA21",0,3,0,0,0,0
"14677","55707","ENSG00000157191","NECAP2",2559,2499,2184,2129,2541,2952
"57417","107984921","ENSG00000226029","LINC01772",8,1,0,6,13,22
"19263","114819","ENSG00000080947","CROCCP3",13,16,15,23,21,20
"11798","26871","ENSG00000206652","RNU1-1",0,0,0,0,0,0
"33349","100132147","ENSG00000233421","LINC01783",0,0,0,0,0,0
"14650","55672","ENSG00000219481","NBPF1",608,525,557,784,871,969
"18248","84809","ENSG00000215908","CROCCP2",176,126,118,123,139,150
"11796","26869","ENSG00000207513","RNU1-3",0,0,0,0,2,0
"8805","9696","ENSG00000058453","CROCC",156,171,192,264,213,278
"5712","6060","ENSG00000207389","RNU1-4",0,0,0,0,0,0
"37729","100421113","ENSG00000227684","CROCCP4",3,2,2,0,1,0
"38832","100500876","ENSG00000263811","MIR3675",0,0,0,0,0,0
"61925","112267871","ENSG00000228549","LOC112267871",7,22,6,6,20,16
"50870","105376805","ENSG00000238142","LOC105376805",13,13,19,21,35,39
"11797","26870","ENSG00000207005","RNU1-2",1,0,0,0,0,0
"4116","4237","ENSG00000117122","MFAP2",2172,2308,1905,1788,1920,2335
"10835","23400","ENSG00000159363","ATP13A2",3675,3601,2591,2637,2873,3301
"6024","6390","ENSG00000117118","SDHB",2187,2025,1644,1670,1609,1811
"10254","11240","ENSG00000117115","PADI2",2,1,8,3,15,5
"26585","400743","ENSG00000204362","LINC02783",2,1,1,0,0,0
"12840","29943","ENSG00000142623","PADI1",0,0,0,0,0,0
"13573","51702","ENSG00000142619","PADI3",0,2,0,0,0,0
"39950","100616188","ENSG00000266634","MIR3972",0,0,0,0,0,0
"10982","23569","ENSG00000159339","PADI4",0,0,0,0,0,0
"64040","114515514","ENSG00000227751","RCC2-AS1",0,0,0,0,0,0
"14855","55920","ENSG00000179051","RCC2",3199,3186,2345,2484,2654,2963
"14310","55160","ENSG00000074964","ARHGEF10L",728,685,865,911,1107,1211
"56761","107984028","ENSG00000236648","LINC02810",0,0,0,0,0,0
"17511","81569","ENSG00000117148","ACTL8",0,0,0,0,0,0
"43103","101927876","ENSG00000261781","LINC01654",0,0,0,0,0,0
"18366","84966","ENSG00000117154","IGSF21",0,0,0,0,0,0
"20024","127707","ENSG00000179023","KLHDC7A",2,0,0,2,0,0
"4804","5081","ENSG00000009709","PAX7",0,0,0,0,0,0
"17287","80834","ENSG00000179002","TAS1R2",0,0,0,0,0,0
"7905","8659","ENSG00000159423","ALDH4A1",157,178,322,319,323,378
"39885","100616120","ENSG00000265606","MIR4695",0,0,0,0,0,0
"36289","100302276","ENSG00000221662","MIR1290",0,0,0,0,0,0
"19968","126917","ENSG00000169991","IFFO2",1206,1212,1077,1234,1513,1787
"10793","23352","ENSG00000127481","UBR4",3133,3867,2476,3530,3725,4118
"43115","101927895","ENSG00000230424","EMC1-AS1",14,7,22,12,7,20
"10555","23065","ENSG00000127463","EMC1",3389,3550,3185,3134,3352,3707
"13202","51154","ENSG00000053372","MRTO4",2172,2121,1190,1196,1148,1331
"22557","246181","ENSG00000211454","AKR7L",3,1,0,3,10,4
"10482","22977","ENSG00000162482","AKR7A3",10,13,4,5,2,6
"7834","8574","ENSG00000053371","AKR7A2",1867,1958,2179,1983,2102,2409
"55512","106481526","ENSG00000200403","RNU6-1099P",0,0,2,0,0,1
"14082","54896","ENSG00000040487","SLC66A1",785,790,527,552,712,686
"755","832","ENSG00000077549","CAPZB",8921,8786,10010,9479,11591,12730
"53557","106479570","ENSG00000201609","RNU4-28P",0,0,0,0,0,0
"52038","105378614","ENSG00000235185","MICOS10-DT",0,0,2,1,0,0
"27548","440574","ENSG00000173436","MICOS10",161,140,134,181,135,193
"4433","4681","ENSG00000158747","NBL1",760,864,1077,1181,1411,1700
"3131","3362","ENSG00000158748","HTR6",2,0,0,1,4,7
"22737","255104","ENSG00000162542","TMCO4",367,371,539,582,455,565
"13875","54546","ENSG00000178828","RNF186",0,0,0,0,0,0
"10717","23252","ENSG00000169914","OTUD3",216,265,242,282,282,277
"12902","30814","ENSG00000188784","PLA2G2E",0,0,0,0,0,0
"53320","106479333","ENSG00000242688","RN7SL304P",0,0,0,0,0,0
"5019","5320","ENSG00000188257","PLA2G2A",3,0,12,1,1,0
"5021","5322","ENSG00000127472","PLA2G5",39,34,97,92,129,106
