"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"19391","115704","ENSG00000142459","EVI5L",820,856,762,970,1109,1245
"17070","80164","ENSG00000183248","PRR36",6,5,29,16,31,37
"17051","80131","ENSG00000171017","LRRC8E",50,33,42,35,36,23
"5284","5609","ENSG00000076984","MAP2K7",712,796,523,544,689,753
"39547","100507588","ENSG00000260001","TGFBR3L",79,110,59,61,75,52
"6237","6618","ENSG00000104976","SNAPC2",1565,1500,1256,1175,1426,1490
"27030","404217","ENSG00000178531","CTXN1",897,834,755,810,1072,1165
"9531","10469","ENSG00000104980","TIMM44",1208,991,876,825,952,1111
"1763","1994","ENSG00000066044","ELAVL1",3080,3114,2836,2870,3172,3469
"6009","6370","ENSG00000131142","CCL25",0,0,2,1,0,0
"18092","84467","ENSG00000142449","FBN3",0,0,0,0,0,0
"38339","100422633","ENSG00000269651","LOC100422633",0,0,0,0,0,0
"16657","79603","ENSG00000090661","CERS4",7,3,15,8,8,12
"13324","51293","ENSG00000167775","CD320",1535,1218,1323,1231,1466,1490
"4467","4701","ENSG00000267855","NDUFA7",3,8,4,11,5,17
"5868","6234","ENSG00000233927","RPS28",4917,4744,5309,5523,5606,5603
"22832","256949","ENSG00000186994","KANK3",14,3,11,11,11,18
"13179","51129","ENSG00000167772","ANGPTL4",2087,1749,1301,1178,898,965
"39543","100507567","ENSG00000269386","RAB11B-AS1",54,36,49,54,60,53
"40490","100847049","ENSG00000265390","MIR4999",0,0,0,0,0,0
"8374","9230","ENSG00000185236","RAB11B",2086,2197,2372,2353,2530,2706
"13289","51257","ENSG00000099785","MARCHF2",716,725,1255,1162,1211,1392
"4421","4670","ENSG00000099783","HNRNPM",6486,5805,5122,5307,5925,6359
"17891","84106","ENSG00000133246","PRAM1",0,0,0,0,0,1
"18045","84330","ENSG00000133250","ZNF414",157,172,193,221,216,240
"4302","4542","ENSG00000142347","MYO1F",10,6,13,13,7,3
"17573","81794","ENSG00000142303","ADAMTS10",2,0,1,16,4,9
"47845","105372267","ENSG00000268480","NFILZ",0,0,0,0,0,0
"23414","284382","ENSG00000181786","ACTL9",0,0,0,0,0,0
"35453","100271624","ENSG00000269244","RPL23AP78",0,0,0,0,0,0
"23415","284383","ENSG00000181733","OR2Z1",0,0,0,0,0,0
"20967","148156","ENSG00000167785","ZNF558",252,223,262,237,314,289
"18513","85509","ENSG00000170948","MBD3L1",0,0,0,0,0,0
"19020","94025","ENSG00000181143","MUC16",0,0,0,0,0,0
"19878","125963","ENSG00000170929","OR1M1",0,0,0,0,0,0
"26025","390882","ENSG00000170923","OR7G2",0,0,0,0,0,0
"19877","125962","ENSG00000161807","OR7G1",0,0,0,0,0,0
"26026","390883","ENSG00000170920","OR7G3",0,0,0,0,0,0
"15590","57693","ENSG00000130803","ZNF317",980,868,728,920,1061,1129
"21579","162998","ENSG00000188000","OR7D2",0,0,0,0,0,1
"19876","125958","ENSG00000174667","OR7D4",0,0,0,0,0,0
"11633","26648","ENSG00000237521","OR7E24",0,0,0,0,0,0
"26027","390885","ENSG00000180926","OR7E18P",0,0,0,0,0,0
"26028","390886","ENSG00000226480","OR7H1P",0,0,0,0,0,0
"25082","374879","ENSG00000196110","ZNF699",364,312,383,381,388,379
"18111","84527","ENSG00000188321","ZNF559",193,221,217,250,268,297
"7223","7730","ENSG00000270011","ZNF177",0,1,4,4,1,0
